"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"Whimbrel",1980,1999,"Previous-three-generation",-0.964442439782071,-4.71145005519185,2.81252777462364,-16.6613322755972,-60.0263636263832,69.384904732441,0.68125,0.337916666666667,0.0933333333333333,0.00291666666666667,1.80458289508242,2.29945472571397,542.2
"Hudsonian Godwit",1980,2019,"Long-term",-7.62605107602279,-9.87607198385669,-5.34301968234014,-95.4769442683381,-98.2671364324221,-88.2522906733794,1,1,1,1,4.12815506326594,1.39615660484096,441.95
"Hudsonian Godwit",2004,2019,"15-year",-15.7059382466173,-20.6001331997765,-10.8992137691023,-92.3032712376281,-96.857344112638,-82.2898168904126,1,1,1,0.999166666666667,1.65406467706217,0.714531285048167,368.0625
"Hudsonian Godwit",1980,1995,"First-15-year",-0.81224852082659,-5.58462288445919,4.06689466043331,-12.111760032689,-57.7680641447282,81.8398007175985,0.632916666666667,0.263333333333333,0.06375,0.00333333333333333,6.65098740842031,1.89875364543208,449.4375
"Hudsonian Godwit",2000,2019,"Recent-three-generation",-13.3999523699905,-17.2972755460489,-9.65286777330393,-93.4315067163246,-97.2905784118145,-85.4664046113922,1,1,1,1,2.06476166869874,1.06723069402319,405
"Hudsonian Godwit",1981,2000,"Previous-three-generation",-2.29724720966539,-5.38203749886956,0.739072517232723,-35.8092176711786,-65.0458904514723,15.016733567171,0.925416666666667,0.607083333333333,0.209583333333333,0.00583333333333333,6.08811688449643,1.72134415829455,486.15
"Marbled Godwit",1980,2019,"Long-term",-1.65815536460333,-4.96602264804933,1.37868612336551,-47.1578100684609,-86.2824256745773,70.5766998170036,0.84375,0.673333333333333,0.4675,0.19125,3.54924179946164,1.46963899640921,154.975
"Marbled Godwit",2004,2019,"15-year",-7.26423735657433,-14.5689993676953,0.17446014486621,-67.8459723426839,-90.5760621516629,2.64910335190127,0.97125,0.897916666666667,0.765833333333333,0.454583333333333,3.84636241175274,1.83206826473688,63.625
"Marbled Godwit",1980,1995,"First-15-year",1.02530356836586,-4.26011542825935,6.30712080755275,16.9548745963591,-47.9531453258697,150.285299430887,0.35625,0.11125,0.02125,0.00125,3.07933732427935,1.41085780259173,217.9375
"Marbled Godwit",1996,2019,"Recent-three-generation",-3.55144786439296,-8.14946765053222,0.692564692044254,-56.1163472889607,-85.8460181411664,17.2034189549334,0.945416666666667,0.8075,0.589583333333333,0.245416666666667,3.86251144958317,1.5088264589542,113
"Marbled Godwit",1980,1996,"Previous-three-generation",1.16895613397166,-3.79132522761684,6.15603217583634,20.8027781895097,-46.1199748060046,160.084720367203,0.3275,0.0904166666666667,0.0170833333333333,0.00125,3.10327858067069,1.41189978059054,217.470588235294
"Ruddy Turnstone",1980,2019,"Long-term",-4.73912228097402,-6.19371187368119,-3.26640187040833,-84.9013514232724,-91.738739036014,-72.6147720160987,1,1,1,0.98875,7.50111926992611,4.79255081881382,732.2
"Ruddy Turnstone",2004,2019,"15-year",-4.70850594353187,-8.11067509352141,-1.2344855259874,-51.2488437162011,-71.8825507779101,-16.9996418729122,0.994583333333333,0.91375,0.542916666666667,0.0416666666666667,3.88290764738173,3.45754313457724,641.125
"Ruddy Turnstone",1980,1995,"First-15-year",-5.36818101313424,-8.12050088454909,-2.60267665122403,-56.3401351793658,-71.9276161498584,-32.6705095250106,1,0.985,0.719583333333333,0.0429166666666667,11.7337386300207,6.29126752437675,766.875
"Ruddy Turnstone",2000,2019,"Recent-three-generation",-4.45831533605493,-7.22237606752979,-1.65412418736916,-58.1005527145734,-75.9330142677215,-27.1605037196879,0.99875,0.96625,0.745,0.105,4.27044318558661,3.75769164217278,685.45
"Ruddy Turnstone",1981,2000,"Previous-three-generation",-4.97386283382239,-6.74902583773625,-3.10865312697516,-62.1211844929804,-73.4897286764885,-45.1198418082711,1,0.999583333333333,0.925833333333333,0.110416666666667,10.1665974206967,5.93375052586991,765.55
"Red Knot",1980,2019,"Long-term",-7.64801124817617,-9.48933766240103,-5.72492351436591,-95.5141559055195,-97.9521875187145,-89.9658863644414,1,1,1,1,61.3180353112258,16.064177015099,549.325
"Red Knot",2004,2019,"15-year",-12.8743489895056,-16.8794397206808,-8.96661564589354,-87.4056635628529,-93.7536410957259,-75.5651121142323,1,1,1,0.994166666666667,26.6012195259183,7.77189582242777,440.8125
"Red Knot",1980,1995,"First-15-year",-5.01932105134177,-8.44956433016916,-1.54568674298609,-53.8166130669856,-73.3984935305806,-20.8371886015316,0.995416666666667,0.929166666666667,0.607916666666667,0.0620833333333333,96.8388143027736,21.9252836597946,619.875
"Red Knot",1998,2019,"Recent-three-generation",-10.2502817171405,-13.2492798358951,-7.37068224653878,-89.6918436843561,-94.9448382377594,-79.968301315679,1,1,1,0.999583333333333,35.3045300684126,11.0745385398626,491.909090909091
"Red Knot",1980,1998,"Previous-three-generation",-4.50042789068768,-7.35511276831185,-1.614795819812,-56.3868733868333,-74.7194654129485,-25.4004426420636,0.998333333333333,0.959583333333333,0.678333333333333,0.0958333333333333,91.4631293300238,21.589861819524,616.578947368421
