"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","mean_abundance","mean_observed","mean_n_surveys","region","start_year","end_year","species","region_type","trend_type","parameter"
1.05049447376362,-2.24780149054311,4.22738687952661,51.7991639590012,-58.7964327765091,402.68061394895,0.00914858427371124,0.0605512659906655,34.2972972972973,"2105040_981891",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
2.02699490630969,-1.64250379887557,5.80632670213267,117.047262905136,-47.5807003958326,803.553914247457,0.0206929340153579,0.19367576241568,14.9487179487179,"2255040_722084",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
0.877918867775987,-2.62898669104311,4.46680584202319,39.8250011785253,-64.6199916767668,449.736225838547,0.00778476241872406,0.0549305450776092,47.6315789473684,"2405040_981891",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
1.02778053051065,-4.40098872968319,6.53733375787301,50.3522555302616,-82.7144617094865,1081.87415182559,0.0140825645417951,0.0422110717565263,7.54545454545455,"2555040_1241699",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-0.287321304317577,-3.69976862626477,3.12009484858884,-10.3198307771335,-77.0138681974865,231.427739143,0.0516152791901182,0.262559900798881,21.8571428571429,"305040_-576954",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-1.6500809345164,-4.88568633445229,1.64466980714774,-48.4916855878617,-85.8228394002943,88.9294962178794,0.120273572939717,0.560929916043552,15.9545454545455,"455040_-317147",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
-2.4891322851061,-4.74542636727597,-0.357736427859232,-62.4308928706597,-84.9842199274459,-13.0439268384788,0.422364570087269,3.18698306569469,21.5,"605040_462276",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
0.47890741688831,-2.77961600070713,3.77505904780111,20.2640410021724,-66.6929616275998,324.254619636573,0.0460504701952853,0.407072949228243,24.1818181818182,"905040_462276",1980,2019,"Baird's Sandpiper","hex_name","Long-term","nsmooth"
1.89642650835317,-5.3230705494538,9.50645487418048,22.1532565353095,-45.2119542400907,171.541940564194,0.272041763805903,0.650123805609858,287.666666666667,"Composite",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
4.36392738677157,-4.74818967337939,15.5756011861786,52.514273450666,-41.4393762059979,391.504837694507,0.0296099230739387,NA,NA,"-1194960_-576954",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
2.08478258323224,-5.92403741314271,11.0187935818239,23.9485638559739,-48.9182941711044,215.763226356196,2.99930983040373,25.9,3.4,"-144960_-317147",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
3.21740157244861,-5.80262344745102,13.8731275002958,36.8818274769015,-48.1884136123461,317.478159356023,0.120713848837925,0.45971557682084,22.1666666666667,"-144960_-836762",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
6.30821815080058,-3.82852560202709,18.598270628353,87.6609575494613,-34.910776146184,552.922932133256,0.00982885303824046,0.144995408631772,7.36363636363636,"-1944960_1241699",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
3.19109196423634,-4.99006131227074,12.6550391392633,38.1547034740743,-43.0544989675967,270.900023398404,1.44460251480613,NA,NA,"-294960_-57339",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
-6.20480160346105,-13.1213012606343,-0.0475565096199311,-49.4817290500393,-78.7163340997073,-0.521875677488318,0.0587106694626908,0.378544061302682,26.8,"1055040_202469",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
-5.1018297560461,-11.8872810795377,1.00175971765509,-43.3959085250783,-75.1443720770952,11.5882310459179,0.0346827281208377,0.184924764840538,46.5454545454545,"1205040_462276",2008,2019,"Baird's Sandpiper","hex_name","Recent-three-generation","nsmooth"
