"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","trend_type","species","start_year","end_year","parameter","region","true_trend"
-1.87101482503273,-7.0082206091508,2.99032874373,-16.5621599125709,-51.6445317247576,34.2655283541767,0.7890625,0.2415625,0.0303125,0.0003125,2.89218651409091,4.31325782337891,628.090909090909,"Recent-three-generation","Simulated_Ruddy Turnstone",2009,2019,"NSmooth","Survey Wide",-3.64620783829223
-3.77937551115681,-7.28825445598827,-0.237137411101203,-32.2086414671542,-53.0811257731397,-2.34622739070001,0.98375,0.5684375,0.053125,0,3.91382473409091,8.03395658258816,758.818181818182,"Previous-three-generation","Simulated_Ruddy Turnstone",1999,2009,"NSmooth","Survey Wide",-3.64620783829223
-5.78804463404552,-7.49657670197203,-4.09746880783815,-90.228618884094,-95.2119971359266,-80.4398217458712,1,1,1,0.9975,42.4673860453125,43.3334900253378,549.325,"Long-term","Simulated_Red Knot",1980,2019,"NSmooth","Survey Wide",-6.97718285138682
-3.46911381475751,-8.91577964828531,2.010957228827,-29.7452094989358,-60.6964791567247,22.030463925161,0.89875,0.494375,0.1134375,0.0040625,11.95140526875,16.9133336145781,426.909090909091,"Recent-three-generation","Simulated_Red Knot",2009,2019,"NSmooth","Survey Wide",-6.97718285138682
-7.23392461746706,-10.8716302644864,-3.65514595078886,-52.6229736205007,-68.3655980632851,-31.089526860437,0.9996875,0.9803125,0.619375,0.015,22.1026883252841,34.6931293944405,547,"Previous-three-generation","Simulated_Red Knot",1999,2009,"NSmooth","Survey Wide",-6.97718285138682
-2.7167080423554,-4.37386987478376,-1.10300803470386,-65.7411189868092,-82.5222033254114,-35.1156118238487,1,0.9853125,0.876875,0.344375,1.70486359974219,20.5432148902762,470.125,"Long-term","Simulated_Stilt Sandpiper",1980,2019,"NSmooth","Survey Wide",-3.56915200368808
-2.53249781229443,-7.35216051940502,1.73577573831971,-21.5139316565944,-53.4035323366258,18.7783182599331,0.8696875,0.3140625,0.0428125,0.0009375,1.00299112491477,0.847848514533375,316.454545454545,"Recent-three-generation","Simulated_Stilt Sandpiper",2009,2019,"NSmooth","Survey Wide",-3.56915200368808
-3.54566919104292,-6.53864308259369,-0.594784369240431,-30.4331626130518,-49.1465032995096,-5.79114191971367,0.9909375,0.5140625,0.02125,0,1.37137203610795,2.18484335036976,441.545454545455,"Previous-three-generation","Simulated_Stilt Sandpiper",1999,2009,"NSmooth","Survey Wide",-3.56915200368808
-0.880686222275229,-2.78545519038677,0.414789058581092,-26.417070734323,-66.770893072864,17.5193910731036,0.8615625,0.4440625,0.1578125,0.016875,248.813445998437,173.051864501537,802.95,"Long-term","Simulated_Sanderling",1980,2019,"NSmooth","Survey Wide",-1.44524491819484
-0.750607916894331,-5.0573308360885,2.96381227009721,-4.68378310048972,-40.4866520505212,33.9202504970034,0.6640625,0.0775,0.005625,0,212.164332536932,124.199687826193,663.636363636364,"Recent-three-generation","Simulated_Sanderling",2009,2019,"NSmooth","Survey Wide",-1.44524491819484
-1.14866594985697,-4.49704589555485,1.37739251647927,-8.8531341907746,-36.8798452362042,14.6598028013552,0.7975,0.06875,0.001875,0,233.772312133523,155.595600085634,811.727272727273,"Previous-three-generation","Simulated_Sanderling",1999,2009,"NSmooth","Survey Wide",-1.44524491819484
-3.78281460307377,-5.61142596865348,-2.03808929819808,-77.7769081078592,-89.4838296878704,-55.2046682192348,1,0.9996875,0.990625,0.7809375,3.71237773184375,56.7107270851535,763.75,"Long-term","Simulated_Dunlin",1980,2019,"NSmooth","Survey Wide",-4.35558209679091
