"trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","p_decline","p_decline_GT_30","p_decline_GT_50","p_decline_GT_70","mean_abundance","mean_observed","mean_n_surveys","region","centered_log_trend","centered_log_trend_lci","centered_log_trend_uci","start_year","end_year","species","region_type","trend_type","parameter","true_trend","prec"
-0.184588079450688,-1.42222323338834,1.03659549384796,-6.8932094758658,-42.8018750413328,49.5097284454218,0.6134375,0.1140625,0.0078125,0,0.0339785144953125,0.274789001471261,97.6666666666667,"1205040_462276",-0.22661383457971,-0.821577085339476,0.310445956031104,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-0.633377053555884,2.54166968848123
-0.561819026566239,-1.50900218778075,0.361144239254265,-19.9335357948615,-44.7331177801504,15.0955588150503,0.884375,0.2171875,0.0075,0,0.0531096796148438,1.08018452206947,136.117647058824,"1355040_722084",-0.373966062170376,-0.892248844583887,0.10004843815266,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.16192238408079,4.39360399359419
0.301089617963793,-1.15925522416643,1.85933049366769,12.1711824562442,-36.539368277832,105.131272943445,0.335625,0.050625,0.005,0,0.0126219372580469,0.0518573071256574,23.6190476190476,"155040_-317147",-0.0376573782499033,-0.578288558848759,0.457746258598238,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",1.10399168266542,1.68641753114759
-0.283376557471735,-1.65737614115631,0.975279210068596,-9.77200568385912,-47.8889327679662,46.0116337591164,0.665625,0.1640625,0.0178125,0,0.0178522794547656,0.161802743898384,29.2,"1655040_202469",-0.26534227569455,-0.890007084265934,0.285808471692346,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-0.235115767800176,2.2170940577302
-0.759075250851217,-2.43129517844355,0.768673779172278,-24.8356254454658,-61.7077320437458,34.8019512770322,0.831875,0.4096875,0.108125,0.0053125,0.010349734255,0.0741692830978545,10.5714285714286,"1955040_722084",-0.452318546694729,-1.26085963077916,0.242629470504832,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.29361867053382,1.50065411478474
-0.485574151885029,-2.43392697145494,1.48826126890933,-16.8046528828882,-61.7479963232196,77.9166829981683,0.6984375,0.325,0.09,0.005625,0.0164975522417188,0.0804051254985656,18.4074074074074,"2105040_462276",-0.345514901336259,-1.21357674756348,0.444670011358399,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-0.831911698625487,0.998884484983288
-0.924079370380059,-2.48752215817086,0.517923599835184,-30.0497561739083,-62.5589950778538,22.3198228492097,0.8996875,0.50125,0.1271875,0.0059375,0.0081501341165625,0.0829171627035443,34.2972972972973,"2105040_981891",-0.517021160866324,-1.26263140940059,0.135777570083183,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.81865019162611,1.70119597104229
-1.18352528156911,-2.99782402406167,0.333399162065668,-35.5111812988843,-69.4875130870358,13.8611433850024,0.928125,0.600625,0.2403125,0.02375,0.0123205323496875,0.080091114647479,14.9487179487179,"2255040_722084",-0.61961823449939,-1.50566726795826,0.0983273262295404,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.35940099487564,1.38472863383169
-0.996848514905687,-2.80406229805054,0.771681487642171,-31.901297850653,-67.0180358820825,34.9589743838773,0.8753125,0.531875,0.1821875,0.0175,0.005204645828125,0.0407281356857285,47.6315789473684,"2405040_981891",-0.546177612462331,-1.41779311629403,0.230410967445509,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-1.88408261160162,1.20181978394288
-1.00203758713694,-3.5487093013374,1.34947589150448,-31.3405115159209,-75.564919913671,68.670394169325,0.8109375,0.5175,0.2528125,0.0525,0.019127073426875,0.0491178013905287,7.54545454545455,"2555040_1241699",-0.549571003238223,-1.69354062472413,0.447610280047858,1980,2019,"Simulated_Baird's Sandpiper","hex_name","Long-term","nsmooth",-2.40597525973717,0.640474335576342
